NO,TAHUN,BULAN,BI_RATE
1,2005,Januari,-
2,2005,Februari,-
3,2005,Maret,-
4,2005,April,-
5,2005,Mei,-
6,2005,Juni,-
7,2005,Juli,-
8,2005,Agustus,-
9,2005,September,-
10,2005,Oktober,-
11,2005,November,-
12,2005,Desember,-
13,2006,Januari,-
14,2006,Februari,-
15,2006,Maret,-
16,2006,April,-
17,2006,Mei,-
18,2006,Juni,-
19,2006,Juli,-
20,2006,Agustus,-
21,2006,September,-
22,2006,Oktober,-
23,2006,November,-
24,2006,Desember,-
25,2007,Januari,-
26,2007,Februari,-
27,2007,Maret,-
28,2007,April,-
29,2007,Mei,-
30,2007,Juni,-
31,2007,Juli,-
32,2007,Agustus,-
33,2007,September,-
34,2007,Oktober,-
35,2007,November,-
36,2007,Desember,-
37,2008,Januari,-
38,2008,Februari,-
39,2008,Maret,-
40,2008,April,-
41,2008,Mei,-
42,2008,Juni,-
43,2008,Juli,-
44,2008,Agustus,-
45,2008,September,-
46,2008,Oktober,-
47,2008,November,-
48,2008,Desember,-
49,2009,Januari,8.75
50,2009,Februari,8.25
51,2009,Maret,7.75
52,2009,April,7.5
53,2009,Mei,7.25
54,2009,Juni,7
55,2009,Juli,6.75
56,2009,Agustus,6.5
57,2009,September,6.5
58,2009,Oktober,6.5
59,2009,November,6.5
60,2009,Desember,6.5
61,2010,Januari,6.5
62,2010,Februari,6.5
63,2010,Maret,6.5
64,2010,April,6.5
65,2010,Mei,6.5
66,2010,Juni,6.5
67,2010,Juli,6.5
68,2010,Agustus,6.5
69,2010,September,6.5
70,2010,Oktober,6.5
71,2010,November,6.5
72,2010,Desember,6.5
73,2011,Januari,6.5
74,2011,Februari,6.75
75,2011,Maret,6.75
76,2011,April,6.75
77,2011,Mei,6.75
78,2011,Juni,6.75
79,2011,Juli,6.75
80,2011,Agustus,6.75
81,2011,September,6.75
82,2011,Oktober,6.5
83,2011,November,6
84,2011,Desember,6
85,2012,Januari,6
86,2012,Februari,5.75
87,2012,Maret,5.75
88,2012,April,5.75
89,2012,Mei,5.75
90,2012,Juni,5.75
91,2012,Juli,5.75
92,2012,Agustus,5.75
93,2012,September,5.75
94,2012,Oktober,5.75
95,2012,November,5.75
96,2012,Desember,5.75
97,2013,Januari,5.75
98,2013,Februari,5.75
99,2013,Maret,5.75
100,2013,April,5.75
101,2013,Mei,5.75
102,2013,Juni,6
103,2013,Juli,6.5
104,2013,Agustus,7
105,2013,September,7.25
106,2013,Oktober,7.25
107,2013,November,7.5
108,2013,Desember,7.5
109,2014,Januari,7.5
110,2014,Februari,7.5
111,2014,Maret,7.5
112,2014,April,7.5
113,2014,Mei,7.5
114,2014,Juni,7.5
115,2014,Juli,7.5
116,2014,Agustus,7.5
117,2014,September,7.5
118,2014,Oktober,7.5
119,2014,November,7.75
120,2014,Desember,7.75
121,2015,Januari,7.75
122,2015,Februari,7.5
123,2015,Maret,7.5
124,2015,April,7.5
125,2015,Mei,7.5
126,2015,Juni,7.5
127,2015,Juli,7.5
128,2015,Agustus,7.5
129,2015,September,7.5
130,2015,Oktober,7.5
131,2015,November,7.5
132,2015,Desember,7.5
133,2016,Januari,7.25
134,2016,Februari,7
135,2016,Maret,6.75
136,2016,April,6.75
137,2016,Mei,6.75
138,2016,Juni,6.5
139,2016,Juli,6.5
140,2016,Agustus,5.25
141,2016,September,5
142,2016,Oktober,4.75
143,2016,November,4.75
144,2016,Desember,4.75
145,2017,Januari,4.75
146,2017,Februari,4.75
147,2017,Maret,4.75
148,2017,April,4.75
149,2017,Mei,4.75
150,2017,Juni,4.75
151,2017,Juli,4.75
152,2017,Agustus,4.5
153,2017,September,4.25
154,2017,Oktober,4.25
155,2017,November,4.25
156,2017,Desember,4.25
157,2018,Januari,4.25
