NO,TAHUN,BULANAN_MINGGU,HARGA_EMAS
1,2013,Januari_I,460000
2,2013,Januari_II,460000
3,2013,Januari_III,460000
4,2013,Januari_IV,460000
5,2013,Januari_V,470000
6,2013,Februari_I,470000
7,2013,Februari_II,470000
8,2013,Februari_III,470000
9,2013,Februari_IV,460000
10,2013,Februari_V,-
11,2013,Maret_I,460000
12,2013,Maret_II,460000
13,2013,Maret_III,460000
14,2013,Maret_IV,460000
15,2013,Maret_V,-
16,2013,April_I,460000
17,2013,April_II,440000
18,2013,April_III,430000
19,2013,April_IV,420000
20,2013,April_V,-
21,2013,Mei_I,420000
22,2013,Mei_II,420000
23,2013,Mei_III,420000
24,2013,Mei_IV,420000
25,2013,Mei_V,420000
26,2013,Juni_I,420000
27,2013,Juni_II,420000
28,2013,Juni_III,420000
29,2013,Juni_IV,420000
30,2013,Juni_V,-
31,2013,Juli_I,420000
32,2013,Juli_II,410000
33,2013,Juli_III,420000
34,2013,Juli_IV,443000
35,2013,Juli_V,443000
36,2013,Agustus_I,443000
37,2013,Agustus_II,445000
38,2013,Agustus_III,450000
39,2013,Agustus_IV,495000
40,2013,Agustus_V,-
41,2013,September_I,500000
42,2013,September_II,515000
43,2013,September_III,500000
44,2013,September_IV,450000
45,2013,September_V,-
46,2013,Oktober_I,490000
47,2013,Oktober_II,485000
48,2013,Oktober_III,480000
49,2013,Oktober_IV,475000
50,2013,Oktober_V,475000
51,2013,November_I,475000
52,2013,November_II,475000
53,2013,November_III,475000
54,2013,November_IV,475000
55,2013,November_V,-
56,2013,Desember_I,477000
57,2013,Desember_II,470000
58,2013,Desember_III,470000
59,2013,Desember_IV,470000
60,2013,Desember_V,-
61,2014,Januari_I,474000
62,2014,Januari_II,480000
63,2014,Januari_III,480000
64,2014,Januari_IV,490000
65,2014,Januari_V,-
66,2014,Februari_I,480000
67,2014,Februari_II,490000
68,2014,Februari_III,485000
69,2014,Februari_IV,490000
70,2014,Februari_V,-
71,2014,Maret_I,490000
72,2014,Maret_II,486000
73,2014,Maret_III,496000
74,2014,Maret_IV,487000
75,2014,Maret_V,-
76,2014,April_I,474000
77,2014,April_II,474000
78,2014,April_III,474000
79,2014,April_IV,474000
80,2014,April_V,472000
81,2014,Mei_I,476000
82,2014,Mei_II,476000
83,2014,Mei_III,472000
84,2014,Mei_IV,472000
85,2014,Mei_V,-
86,2014,Juni_I,468500
87,2014,Juni_II,470000
88,2014,Juni_III,480000
89,2014,Juni_IV,495000
90,2014,Juni_V,-
91,2014,Juli_I,495000
92,2014,Juli_II,493000
93,2014,Juli_III,492000
94,2014,Juli_IV,488000
95,2014,Juli_V,486000
96,2014,Agustus_I,488000
